name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BLACK FOREST HAM FOOTLONG REGULAR SUB,8.49,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
MEATBALL MARINARA FOOTLONG REGULAR SUB,8.29,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
ITALIAN B.M.T. FOOTLONG PRO,12.49,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
MEATBALL MARINARA FOOTLONG PRO,11.69,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CHICKEN & BACON RANCH FOOTLONG REGULAR SUB,10.39,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH TURKEY 6 INCH REGULAR SUB,7.69,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH TURKEY FOOTLONG REGULAR SUB,12.09,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH TURKEY FOOTLONG PRO,15.49,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH STEAK 6 INCH REGULAR SUB,8.89,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH STEAK FOOTLONG REGULAR SUB,13.29,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CALI FRESH STEAK FOOTLONG PRO,16.69,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
ALL-AMERICAN CLUB™ 6 INCH REGULAR SUB,7.09,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
ALL-AMERICAN CLUB™ FOOTLONG REGULAR SUB,9.89,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
ALL-AMERICAN CLUB™ FOOTLONG PRO,13.29,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
B.L.T. 6 INCH REGULAR SUB,5.19,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
B.L.T. FOOTLONG REGULAR SUB,8.09,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
B.L.T. FOOTLONG PRO,11.49,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
BLACK FOREST HAM 6 INCH REGULAR SUB,5.69,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
BLACK FOREST HAM FOOTLONG PRO,11.89,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
BUFFALO CHICKEN 6 INCH REGULAR SUB,7.39,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
BUFFALO CHICKEN FOOTLONG REGULAR SUB,10.18,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
BUFFALO CHICKEN FOOTLONG PRO,13.49,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
CHICKEN & BACON RANCH 6 INCH REGULAR SUB,7.59,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
COLD CUT COMBO 6 INCH REGULAR SUB,5.19,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
COLD CUT COMBO FOOTLONG REGULAR SUB,8.09,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
COLD CUT COMBO FOOTLONG PRO,11.29,,SUBWAY (600 N COIT),"UBEREATS, RICHARDSON, TX",,,,,,,
